State/UT,Population,Increase,Area(Km2),Density,Sex-Ratio,Literacy
Uttar Pradesh,"199,812,341",20.23 %,"240,928",829,912,67.68
Maharashtra,"112,374,333",15.99 %,"307,713",365,929,82.34
Bihar,"104,099,452",25.42 %,"94,163","1,106",918,61.8
West Bengal,"91,276,115",13.84 %,"88,752","1,028",950,76.26
Andhra Pradesh,"84,580,777",10.98 %,"275,045",308,993,67.02
Madhya Pradesh,"72,626,809",20.35 %,"308,252",236,931,69.32
Tamil Nadu,"72,147,030",15.61 %,"130,060",555,996,80.09
Rajasthan,"68,548,437",21.31 %,"342,239",200,928,66.11
Karnataka,"61,095,297",15.60 %,"191,791",319,973,75.36
Gujarat,"60,439,692",19.28 %,"196,244",308,919,78.03
Orissa,"41,974,218",14.05 %,"155,707",270,979,72.87
Kerala,"33,406,061",4.91 %,"38,852",860,1084,94
Jharkhand,"32,988,134",22.42 %,"79,716",414,948,66.41
Assam,"31,205,576",17.07 %,"78,438",398,958,72.19
Punjab,"27,743,338",13.89 %,"50,362",551,895,75.84
Chhattisgarh,"25,545,198",22.61 %,"135,192",189,991,70.28
Haryana,"25,351,462",19.90 %,"44,212",573,879,75.55
Delhi,"16,787,941",21.21 %,"1,483","11,320",868,86.21
Jammu and Kashmir,"12,541,302",23.64 %,"222,236",56,889,67.16
Uttarakhand,"10,086,292",18.81 %,"53,483",189,963,78.82
Himachal Pradesh,"6,864,602",12.94 %,"55,673",123,972,82.8
Tripura,"3,673,917",14.84 %,"10,486",350,960,87.22
Meghalaya,"2,966,889",27.95 %,"22,429",132,989,74.43
Manipur,"2,855,794",24.50 %,"22,327",128,985,76.94
Nagaland,"1,978,502",-0.58 %,"16,579",119,931,79.55
Goa,"1,458,545",8.23 %,"3,702",394,973,88.7
Arunachal Pradesh,"1,383,727",26.03 %,"83,743",17,938,65.38
Puducherry,"1,247,953",28.08 %,490,"2,547",1037,85.85
Mizoram,"1,097,206",23.48 %,"21,081",52,976,91.33
Chandigarh,"1,055,450",17.19 %,114,"9,258",818,86.05
Sikkim,"610,577",12.89 %,"7,096",86,890,81.42
Andaman and Nicobar Islands,"380,581",6.86 %,"8,249",46,876,86.63
Dadra and Nagar Haveli,"343,709",55.88 %,491,700,774,76.24
Daman and Diu,"243,247",53.76 %,111,"2,191",618,87.1
Lakshadweep,"64,473",6.30 %,30,"2,149",946,91.85