ph,temperature,turbidity,fish
6,27,4,katla
7.6,28,5.9,sing
7.8,27,5.5,sing
6.5,31,5.5,katla
8.2,27,8.5,prawn
6.9,25,4,katla
7.3,30,4,katla
7.2,29,4,katla
7.5,32,4,katla
7.7,22,6,rui
7.9,29,5.5,rui
8.9,27,7.5,rui
8.8,30,6.8,rui
8.4,25,5,rui
6.1,31,4.9,rui
5.5,18,5,koi
7.1,23,5.5,koi
6.2,19,6.1,koi
6.8,22,5.9,koi
5.9,21,6,koi
7.5,29,6,prawn
8.2,27,8.5,prawn
8.3,30,5.3,prawn
7.3,32,5.8,prawn
7.9,29,7.2,prawn
7.8,27,5.6,sing
7.5,31,7.2,sing
7.9,25,5.6,sing
8.5,32,6,sing
8.1,29,7.2,sing
7.9,28,6.1,sing
8.5,30,3,pangas
7.4,29,3.7,pangas
7.8,25,3.9,pangas
8,27,3.8,pangas
6.5,21,5,tilapia
5.9,25,5.5,tilapia
5.6,27,6.8,tilapia
7.1,28,6.1,tilapia
6.8,27,7.2,tilapia
8.6,31,3.3,pangas
8.5,31,3.5,pangas
8.6,31,3,pangas
7.1,28,6.1,tilapia
8.3,31,5.3,prawn
7,30,6,silverCup
7.4,30,6.2,pangas
7.8,28,6,pangas
7.7,28,6.5,prawn
8.2,30,8,prawn
7.9,26,6,prawn
7.5,31,6.2,prawn
7.8,27,7,prawn
5.7,32,4.08,koi
7,31,4.05,koi
6.2,29,4,koi
6.6,25,4.13,koi
6,26,4.11,koi
8.2,30,6.8,pangas
7.6,31,6.7,pangas
7.8,27,5.7,pangas
8,28,5.9,pangas
8,25,4,katla
8.2,31,4,katla
8.1,28,4,katla
8.5,32,4,katla
8,27,4,katla
6.2,26,4.1,katla
6.9,30,4.13,katla
6.5,28,4.12,katla
7.9,30,4,prawn
7.8,28,4.11,prawn
6,26,4.01,koi
7,28,4.12,koi
7.6,29,4.13,koi
8,31,4.15,koi
8.5,30,4,koi
6.1,24,3,tilapia
6.2,25,4,tilapia
6.3,26,3.5,tilapia
6.4,24,4.1,tilapia
6.5,26,4.2,tilapia
6.6,26,4.3,tilapia
6.7,25,4.5,tilapia
6.8,26,3.1,tilapia
7,25,3.2,tilapia
7.5,24,3.3,tilapia
7.8,25,3.4,tilapia
7.9,26,3.5,tilapia
8,26,3.6,tilapia
8.2,24,3.7,tilapia
8.3,25,3.8,tilapia
7.2,26,3.9,tilapia
7.4,26,3,tilapia
8.9,27,3,tilapia
9,28,3.3,tilapia
7,30,4,pangas
7.4,31,3,pangas
7.3,25,2,pangas
7.5,27,1,pangas
7.2,28,5,pangas
6.5,30,3.8,pangas
6.8,29,3.7,pangas
8.5,27,2.5,pangas
9,28,3.5,pangas
7,5,5,karpio
7.1,10,6,karpio
7.2,15,7,karpio
7.3,20,8,karpio
7.5,25,9,karpio
7.4,26,10,karpio
7,28,5.5,karpio
7.1,30,6.5,karpio
7.2,12,7.5,karpio
7.3,13,8.5,karpio
7.5,14,9.5,karpio
7.4,18,5.2,karpio
7,22,6.2,karpio
7.1,31,7.2,karpio
7.2,19,8.2,karpio
7.3,7,9.2,karpio
7.5,8,5.3,karpio
7.4,9,6.3,karpio
7,11,7.3,karpio
7.1,16,8.3,karpio
7.2,17,9.3,karpio
7.3,18,5.4,karpio
7.5,23,6.4,karpio
7.4,25,7.4,karpio
7,27,8.4,karpio
7.1,28,9.4,karpio
7.2,4,9.3,karpio
7.3,6,9.3,karpio
7.5,21,9.3,karpio
7.4,29,8,karpio
7,33,8.7,karpio
7.1,34,8.6,karpio
7.2,35,8.4,karpio
7.1,22,8,magur
7.2,21,8,magur
7.3,22,7.6,magur
7.4,23,7.5,magur
7.1,24,7.4,magur
7.2,25,7,magur
7.3,26,7.3,magur
7.4,27,8,magur
7.1,28,8,magur
7.2,29,8,magur
7.3,30,8,magur
7.1,23,4.06,rui
7.2,24,4.07,rui
7.3,25,4.08,rui
7.4,26,4.09,rui
7.5,27,5,rui
7.6,28,5.01,rui
7.7,29,5.02,rui
7.8,30,5.03,rui
7.9,31,5.04,rui
8,32,5.05,rui
8.1,33,5.06,rui
8.2,34,5.07,rui
8.3,35,5.08,rui
7.8,27,5.7,sing
7.5,31,5.8,sing
7.9,25,5.9,sing
8.5,32,7,sing
6.5,28,7.1,sing
6.6,29,7.2,sing
6.8,30,7.3,sing
6.9,31,7.4,sing
7,26,7.5,sing
7.4,18,14.5,shrimp
7.9,32,14.6,shrimp
7.5,19,14.7,shrimp
7.6,20,14.8,shrimp
7.7,21,14.9,shrimp
7.8,22,15.1,shrimp
7.9,23,15.2,shrimp
7.4,24,15,shrimp
7.9,25,15.3,shrimp
7.5,26,15.4,shrimp
7.6,27,15.5,shrimp
7.7,28,15.7,shrimp
7.8,29,15.8,shrimp
7.9,30,15.19,shrimp
7.6,32,5,silverCup
8.5,28,5.6,silverCup
7.6,32,6.1,silverCup
8.8,25,7,silverCup
7,29,5.9,silverCup
8.6,30,6.5,silverCup
7.67,17.62,3.56,tilapia
8.39,17.5,3.56,tilapia
8.24,17.56,3.55,tilapia
8.26,17.75,3.55,tilapia
8.23,17.56,3.55,tilapia
8.31,17.69,3.56,tilapia
8.38,17.69,3.56,tilapia
7.84,17.56,3.57,tilapia
6.7,17.5,3.56,tilapia
6.02,17.62,3.57,tilapia
8.16,17.62,3.55,tilapia
8.23,17.56,3.55,tilapia
7.96,17.62,3.56,tilapia
7.79,17.75,3.56,tilapia
7.88,17.75,3.55,tilapia
7.84,17.69,3.55,tilapia
8.18,17.69,3.56,tilapia
8.16,17.75,3.56,tilapia
8.32,17.56,3.56,tilapia
8.23,17.56,3.56,tilapia
8.65,17.75,3.44,tilapia
8.66,17.87,3.45,tilapia
8.74,17.94,3.41,tilapia
8.57,17.87,3.46,tilapia
8.62,17.81,3.47,pangas
8.69,17.94,3.48,pangas
8.73,17.81,3.45,pangas
8.63,17.94,3.46,pangas
8.66,17.94,3.44,pangas
8.75,18,3.47,pangas
8.77,17.94,3.47,pangas
8.78,18,3.48,pangas
8.81,17.94,3.43,pangas
8.79,18,3.46,pangas
8.87,18,3.46,pangas
8.8,17.81,3.48,pangas
8.78,17.87,3.48,pangas
8.8,18,3.49,pangas
8.79,17.94,3.5,tilapia
8.79,17.94,3.5,tilapia
6.02,21,3.48,rui
6.01,21,3.49,rui
6,21,3.48,rui
6.09,21.06,3.48,rui
6.93,21,3.47,rui
6.42,20.94,3.47,rui
6.48,21,3.46,rui
7,21,3.46,rui
7.27,21.06,3.45,rui
7.24,21,3.44,rui
7.11,21.06,3.45,rui
7.6,20.94,3.45,rui
7.83,20.87,3.43,rui
7.75,21.06,3.41,rui
7.5,20.87,3.37,rui
7.07,20.87,3.36,rui
6.99,21.06,3.35,rui
6.87,21.06,3.33,rui
6.68,21,3.32,rui
6.95,21.06,3.31,rui
8.3,21.44,3.62,katla
8.15,21.5,3.62,katla
8.09,21.37,3.62,katla
7.99,21.44,3.61,katla
7.92,21.5,3.61,katla
7.96,21.37,3.61,katla
7.87,21.25,3.61,katla
7.7,21.31,3.6,katla
7.54,21.12,3.6,katla
7.5,21.25,3.6,katla
7.43,21.19,3.61,katla
7.42,21.12,3.61,shrimp
7.26,21.25,3.62,shrimp
6.95,21.19,3.62,shrimp
6.78,21.25,3.62,shrimp
6.92,21.06,3.6,shrimp
6.87,21.19,3.6,shrimp
6.51,21.19,3.61,shrimp
7.02,21.25,3.61,shrimp
6.8,21.25,3.61,shrimp
6.02,21.06,3.56,silverCup
6.01,21.09,3.56,silverCup
6,21.12,3.56,silverCup
6.09,21.06,3.56,silverCup
6.93,21.12,3.57,silverCup
6.42,21.19,3.57,silverCup
6.48,21.19,3.57,silverCup
7,21.12,3.57,silverCup
7.27,21.19,3.57,silverCup
7.24,21.06,3.56,silverCup
7.11,21.25,3.56,silverCup
7.6,21.12,3.56,silverCup
7.83,21.06,3.56,sing
7.75,21.25,3.57,sing
7.5,21.06,3.57,sing
7.07,21.12,3.57,sing
6.99,21.19,3.56,sing
6.87,21,3.56,sing
6.68,21.19,3.58,sing
6.95,21.12,3.58,sing
7.67,17.62,3.56,tilapia
8.39,17.5,3.56,tilapia
8.24,17.56,3.55,tilapia
8.26,17.75,3.55,tilapia
8.23,17.56,3.55,tilapia
8.31,17.69,3.56,tilapia
8.38,17.69,3.56,tilapia
7.84,17.56,3.57,tilapia
6.7,17.5,3.56,tilapia
6.02,17.62,3.57,tilapia
8.16,17.62,3.55,tilapia
8.23,17.56,3.55,tilapia
7.96,17.62,3.56,tilapia
7.79,17.75,3.56,tilapia
7.88,17.75,3.55,tilapia
7.84,17.69,3.55,tilapia
8.18,17.69,3.56,tilapia
8.16,17.75,3.56,tilapia
8.32,17.56,3.56,tilapia
8.23,17.56,3.56,tilapia
8.65,17.75,3.44,tilapia
8.66,17.87,3.45,tilapia
8.74,17.94,3.41,tilapia
8.57,17.87,3.46,tilapia
8.62,17.81,3.47,pangas
8.69,17.94,3.48,pangas
8.73,17.81,3.45,pangas
8.63,17.94,3.46,pangas
8.66,17.94,3.44,pangas
8.75,18,3.47,pangas
8.77,17.94,3.47,pangas
8.78,18,3.48,pangas
8.81,17.94,3.43,pangas
8.79,18,3.46,pangas
8.87,18,3.46,pangas
8.8,17.81,3.48,pangas
8.78,17.87,3.48,pangas
8.8,18,3.49,pangas
8.79,17.94,3.5,tilapia
8.79,17.94,3.5,tilapia
6.02,21,3.48,rui
6.01,21,3.49,rui
6,21,3.48,rui
6.09,21.06,3.48,rui
6.93,21,3.47,rui
6.42,20.94,3.47,rui
6.48,21,3.46,rui
7,21,3.46,rui
7.27,21.06,3.45,rui
7.24,21,3.44,rui
7.11,21.06,3.45,rui
7.6,20.94,3.45,rui
7.83,20.87,3.43,rui
7.75,21.06,3.41,rui
7.5,20.87,3.37,rui
7.07,20.87,3.36,rui
6.99,21.06,3.35,rui
6.87,21.06,3.33,rui
6.68,21,3.32,rui
6.95,21.06,3.31,rui
8.3,21.44,3.62,katla
8.15,21.5,3.62,katla
8.09,21.37,3.62,katla
7.99,21.44,3.61,katla
7.92,21.5,3.61,katla
7.96,21.37,3.61,katla
7.87,21.25,3.61,katla
7.7,21.31,3.6,katla
7.54,21.12,3.6,katla
7.5,21.25,3.6,katla
7.43,21.19,3.61,katla
7.42,21.12,3.61,shrimp
7.26,21.25,3.62,shrimp
6.95,21.19,3.62,shrimp
6.78,21.25,3.62,shrimp
6.92,21.06,3.6,shrimp
6.87,21.19,3.6,shrimp
6.51,21.19,3.61,shrimp
7.02,21.25,3.61,shrimp
6.8,21.25,3.61,shrimp
6.02,21.06,3.56,silverCup
6.01,21.09,3.56,silverCup
6,21.12,3.56,silverCup
6.09,21.06,3.56,silverCup
6.93,21.12,3.57,silverCup
6.42,21.19,3.57,silverCup
6.48,21.19,3.57,silverCup
7,21.12,3.57,silverCup
7.27,21.19,3.57,silverCup
7.24,21.06,3.56,silverCup
7.11,21.25,3.56,silverCup
7.6,21.12,3.56,silverCup
7.83,21.06,3.56,sing
7.75,21.25,3.57,sing
7.5,21.06,3.57,sing
7.07,21.12,3.57,sing
6.99,21.19,3.56,sing
6.87,21,3.56,sing
6.68,21.19,3.58,sing
6.95,21.12,3.58,sing
7.67,17.62,3.56,tilapia
8.39,17.5,3.56,tilapia
8.24,17.56,3.55,tilapia
8.26,17.75,3.55,tilapia
8.23,17.56,3.55,tilapia
8.31,17.69,3.56,tilapia
8.38,17.69,3.56,tilapia
7.84,17.56,3.57,tilapia
6.7,17.5,3.56,tilapia
6.02,17.62,3.57,tilapia
8.16,17.62,3.55,tilapia
8.23,17.56,3.55,tilapia
7.96,17.62,3.56,tilapia
7.79,17.75,3.56,tilapia
7.88,17.75,3.55,tilapia
7.84,17.69,3.55,tilapia
8.18,17.69,3.56,tilapia
8.16,17.75,3.56,tilapia
8.32,17.56,3.56,tilapia
8.23,17.56,3.56,tilapia
8.65,17.75,3.44,tilapia
8.66,17.87,3.45,tilapia
8.74,17.94,3.41,tilapia
8.57,17.87,3.46,tilapia
8.62,17.81,3.47,pangas
8.69,17.94,3.48,pangas
8.73,17.81,3.45,pangas
8.63,17.94,3.46,pangas
8.66,17.94,3.44,pangas
8.75,18,3.47,pangas
8.77,17.94,3.47,pangas
8.78,18,3.48,pangas
8.81,17.94,3.43,pangas
8.79,18,3.46,pangas
8.87,18,3.46,pangas
8.8,17.81,3.48,pangas
8.78,17.87,3.48,pangas
8.8,18,3.49,pangas
8.79,17.94,3.5,tilapia
8.79,17.94,3.5,tilapia
6.02,21,3.48,rui
6.01,21,3.49,rui
6,21,3.48,rui
6.09,21.06,3.48,rui
6.93,21,3.47,rui
6.42,20.94,3.47,rui
6.48,21,3.46,rui
7,21,3.46,rui
7.27,21.06,3.45,rui
7.24,21,3.44,rui
7.11,21.06,3.45,rui
7.6,20.94,3.45,rui
7.83,20.87,3.43,rui
7.75,21.06,3.41,rui
7.5,20.87,3.37,rui
7.07,20.87,3.36,rui
6.99,21.06,3.35,rui
6.87,21.06,3.33,rui
6.68,21,3.32,rui
6.95,21.06,3.31,rui
8.3,21.44,3.62,katla
8.15,21.5,3.62,katla
8.09,21.37,3.62,katla
7.99,21.44,3.61,katla
7.92,21.5,3.61,katla
7.96,21.37,3.61,katla
7.87,21.25,3.61,katla
7.7,21.31,3.6,katla
7.54,21.12,3.6,katla
7.5,21.25,3.6,katla
7.43,21.19,3.61,katla
7.42,21.12,3.61,shrimp
7.26,21.25,3.62,shrimp
6.95,21.19,3.62,shrimp
6.78,21.25,3.62,shrimp
6.92,21.06,3.6,shrimp
6.87,21.19,3.6,shrimp
6.51,21.19,3.61,shrimp
7.02,21.25,3.61,shrimp
6.8,21.25,3.61,shrimp
6.02,21.06,3.56,silverCup
6.01,21.09,3.56,silverCup
6,21.12,3.56,silverCup
6.09,21.06,3.56,silverCup
6.93,21.12,3.57,silverCup
6.42,21.19,3.57,silverCup
6.48,21.19,3.57,silverCup
7,21.12,3.57,silverCup
7.27,21.19,3.57,silverCup
7.24,21.06,3.56,silverCup
7.11,21.25,3.56,silverCup
7.6,21.12,3.56,silverCup
7.83,21.06,3.56,sing
7.75,21.25,3.57,sing
7.5,21.06,3.57,sing
7.07,21.12,3.57,sing
6.99,21.19,3.56,sing
6.87,21,3.56,sing
6.68,21.19,3.58,sing
6.95,21.12,3.58,sing
7.67,17.62,3.56,tilapia
8.39,17.5,3.56,tilapia
8.24,17.56,3.55,tilapia
8.26,17.75,3.55,tilapia
8.23,17.56,3.55,tilapia
8.31,17.69,3.56,tilapia
8.38,17.69,3.56,tilapia
7.84,17.56,3.57,tilapia
6.7,17.5,3.56,tilapia
6.02,17.62,3.57,tilapia
8.16,17.62,3.55,tilapia
8.23,17.56,3.55,tilapia
7.96,17.62,3.56,tilapia
7.79,17.75,3.56,tilapia
7.88,17.75,3.55,tilapia
7.84,17.69,3.55,tilapia
8.18,17.69,3.56,tilapia
8.16,17.75,3.56,tilapia
8.32,17.56,3.56,tilapia
8.23,17.56,3.56,tilapia
8.65,17.75,3.44,tilapia
8.66,17.87,3.45,tilapia
8.74,17.94,3.41,tilapia
8.57,17.87,3.46,tilapia
8.62,17.81,3.47,pangas
8.69,17.94,3.48,pangas
8.73,17.81,3.45,pangas
8.63,17.94,3.46,pangas
8.66,17.94,3.44,pangas
8.75,18,3.47,pangas
8.77,17.94,3.47,pangas
8.78,18,3.48,pangas
8.81,17.94,3.43,pangas
8.79,18,3.46,pangas
8.87,18,3.46,pangas
8.8,17.81,3.48,pangas
8.78,17.87,3.48,pangas
8.8,18,3.49,pangas
8.79,17.94,3.5,tilapia
8.79,17.94,3.5,tilapia
6.02,21,3.48,rui
6.01,21,3.49,rui
6,21,3.48,rui
6.09,21.06,3.48,rui
6.93,21,3.47,rui
6.42,20.94,3.47,rui
6.48,21,3.46,rui
7,21,3.46,rui
7.27,21.06,3.45,rui
7.24,21,3.44,rui
7.11,21.06,3.45,rui
7.6,20.94,3.45,rui
7.83,20.87,3.43,rui
7.75,21.06,3.41,rui
7.5,20.87,3.37,rui
7.07,20.87,3.36,rui
6.99,21.06,3.35,rui
6.87,21.06,3.33,rui
6.68,21,3.32,rui
6.95,21.06,3.31,rui
8.3,21.44,3.62,katla
8.15,21.5,3.62,katla
8.09,21.37,3.62,katla
7.99,21.44,3.61,katla
7.92,21.5,3.61,katla
7.96,21.37,3.61,katla
7.87,21.25,3.61,katla
7.7,21.31,3.6,katla
7.54,21.12,3.6,katla
7.5,21.25,3.6,katla
7.43,21.19,3.61,katla
7.42,21.12,3.61,shrimp
7.26,21.25,3.62,shrimp
6.95,21.19,3.62,shrimp
6.78,21.25,3.62,shrimp
6.92,21.06,3.6,shrimp
6.87,21.19,3.6,shrimp
6.51,21.19,3.61,shrimp
7.02,21.25,3.61,shrimp
6.8,21.25,3.61,shrimp
6.02,21.06,3.56,silverCup
6.01,21.09,3.56,silverCup
6,21.12,3.56,silverCup
6.09,21.06,3.56,silverCup
6.93,21.12,3.57,silverCup
6.42,21.19,3.57,silverCup
6.48,21.19,3.57,silverCup
7,21.12,3.57,silverCup
7.27,21.19,3.57,silverCup
7.24,21.06,3.56,silverCup
7.11,21.25,3.56,silverCup
7.6,21.12,3.56,silverCup
7.83,21.06,3.56,sing
7.75,21.25,3.57,sing
7.5,21.06,3.57,sing
7.07,21.12,3.57,sing
6.99,21.19,3.56,sing
6.87,21,3.56,sing
6.68,21.19,3.58,sing
6.95,21.12,3.58,sing
